Capitale de la France ; Paris
Plus grand désert du monde ; Sahara
Rivière la plus longue du monde ; Amazone
Plus grande île du monde ; Groenland
Plus grande pyramide d'Égypte ; Grande pyramide de Gizeh
Langue la plus parlée dans le monde ; Mandarin
Plus grande cascade du monde ; Angel Falls
Plus grande forêt tropicale ; Forêt amazonienne
Premier président des États-Unis ; George Washington
Plus grand lac d'Amérique du Nord ; Lac Supérieur
Plus grande île de la Méditerranée ; Sicile
Plus ancienne civilisation connue ; Civilisation sumérienne
Plus grand océan en termes de superficie ; Océan Pacifique
Plus grande muraille du monde ; Grande Muraille de Chine
Plus grand archipel du monde ; Indonésie
Plus grande planète du système solaire ; Jupiter
Plus grande constellation ; Hydra
Plus grand mammifère terrestre ; Éléphant d'Afrique
Plus grand océan en termes de profondeur ; Océan Pacifique
Plus long fleuve d'Europe ; Volga
Plus haute tour du monde ; Burj Khalifa
Plus grand lac d'Afrique ; Lac Victoria
Plus grande chaîne de montagnes ; Himalaya
Plus ancienne civilisation d'Amérique ; Civilisation olmèque
Plus grand océan en termes de longueur ; Océan Atlantique
Plus grande île d'Asie ; Bornéo
Plus grand océan en termes de largeur ; Océan Atlantique
Plus grand canyon du monde ; Grand Canyon du Colorado
Plus grande ville du monde ; Tokyo
Plus grand pays d'Amérique du Sud ; Brésil
Plus grand lac du monde en termes de volume ; Lac Baïkal
Plus ancienne merveille du monde encore debout ; Pyramides de Gizeh
Plus grand océan en termes de profondeur moyenne ; Océan Pacifique
Plus grand désert froid du monde ; Antarctique
Plus grande fête religieuse hindoue ; Kumbh Mela
Plus ancienne université du monde ; Université Al Quaraouiyine (Maroc)
Plus grand océan en termes de largeur ; Océan Atlantique
Dieu du tonnerre dans la mythologie grecque ; Zeus
Déesse de la sagesse et de la guerre stratégique ; Athéna
Héros qui a tué le Minotaure ; Thésée
Déesse de l'amour et de la beauté ; Aphrodite
Monstre marin mythique ; Kraken
Déesse de la chasse et de la nature sauvage ; Artémis
Dieu de la guerre dans la mythologie nordique ; Odin
Loup monstrueux qui dévore le soleil ; Fenrir
Dieu du tonnerre et du ciel ; Thor
Déesse de l'amour et de la fertilité ; Freyja
Dieu de la malice et de la tromperie ; Loki
Langage de programmation pour les pages web ; HTML
Protocole de communication sécurisé sur Internet ; HTTPS
Service de messagerie électronique ; Gmail
Navigateur web open source ; Mozilla Firefox
Moteur de recherche le plus utilisé ; Google
Plateforme de commerce électronique ; Amazon
Capitale de l'Inde ; New Delhi
Premier homme à atteindre le pôle Nord ; Robert Peary
Déesse grecque de la victoire ; Niké
Plus grand océan en termes de surface ; Océan Pacifique
Compositeur de la Symphonie pastorale ; Ludwig van Beethoven
Quelle est la monnaie utilisée en Russie ? ; Le rouble
Écrivain français de "L'Étranger" ; Albert Camus
Quelle est la plus grande île de la Méditerranée ? ; La Sicile
